player_name,over,min_runs,max_runs,avg_runs
AJ Turner,14,1,1,1.0
AJ Turner,15,3,3,3.0
AJ Turner,16,0,1,0.3333333333333333
AJ Turner,17,0,2,1.0
AJ Turner,18,0,1,0.5
AJ Tye,12,0,6,3.0
AJ Tye,13,0,2,1.0
AJ Tye,14,13,13,13.0
AJ Tye,15,0,7,3.2
AJ Tye,16,2,6,4.0
AJ Tye,17,0,14,3.6666666666666665
AJ Tye,18,0,5,1.5
AJ Tye,19,0,4,2.0
AK Markram,0,0,3,1.1666666666666667
AK Markram,1,0,5,2.375
AK Markram,2,0,13,5.0
AK Markram,3,0,17,4.0
AK Markram,4,0,4,1.3125
AK Markram,5,0,9,2.533333333333333
AK Markram,6,1,9,3.1904761904761907
AK Markram,7,0,6,3.125
AK Markram,8,0,10,2.888888888888889
AK Markram,9,0,12,4.230769230769231
AK Markram,10,0,12,3.269230769230769
AK Markram,11,0,16,4.0
AK Markram,12,0,10,2.1666666666666665
AK Markram,13,1,13,4.631578947368421
AK Markram,14,0,9,3.888888888888889
AK Markram,15,1,12,4.142857142857143
AK Markram,16,1,16,4.923076923076923
AK Markram,17,0,17,4.5
AK Markram,18,1,11,3.5714285714285716
AK Markram,19,1,12,6.8
AL Menaria,4,1,1,1.0
AL Menaria,5,0,6,2.3333333333333335
AL Menaria,6,1,4,2.3333333333333335
AL Menaria,7,0,8,2.5
AL Menaria,8,1,11,4.0
AL Menaria,9,1,8,3.5833333333333335
AL Menaria,10,0,11,4.0
AL Menaria,11,1,13,3.75
AL Menaria,12,0,8,3.0833333333333335
AL Menaria,13,0,8,2.3333333333333335
AL Menaria,14,0,7,2.0
AL Menaria,15,0,5,2.25
AL Menaria,16,1,13,5.714285714285714
AL Menaria,17,0,9,3.4444444444444446
AL Menaria,18,0,3,1.2
AL Menaria,19,1,1,1.0
AM Nayar,0,1,5,2.75
AM Nayar,1,0,1,0.2
AM Nayar,2,0,8,3.3333333333333335
AM Nayar,3,1,1,1.0
AM Nayar,4,1,5,3.0
AM Nayar,5,0,11,3.125
AM Nayar,6,0,6,2.0
AM Nayar,7,0,7,2.75
AM Nayar,8,0,2,1.2222222222222223
AM Nayar,9,0,13,3.0
AM Nayar,10,0,3,1.5454545454545454
AM Nayar,11,0,10,2.6
AM Nayar,12,1,14,3.1875
AM Nayar,13,0,9,2.55
AM Nayar,14,0,11,2.6
AM Nayar,15,0,12,3.909090909090909
AM Nayar,16,0,14,3.7
AM Nayar,17,0,21,5.142857142857143
AM Nayar,18,0,7,2.5
AM Nayar,19,0,12,4.8
AM Rahane,0,0,12,2.9098360655737703
AM Rahane,1,0,14,3.043859649122807
AM Rahane,2,0,16,3.5130434782608697
AM Rahane,3,0,23,4.372727272727273
AM Rahane,4,0,17,4.09433962264151
AM Rahane,5,0,17,4.297872340425532
AM Rahane,6,0,12,2.922222222222222
AM Rahane,7,0,15,2.9390243902439024
AM Rahane,8,0,9,2.8947368421052633
